"Country","Year","Pathogen","Antibiotic","Total","Resistant","Data","Region"
"North Macedonia",2020,"Escherichia coli","Ampicillin",45,42,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Ceftazidime",47,34,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Ciprofloxacin",49,34,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Colistin",29,1,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Ceftriaxone",36,30,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Cefotaxime",21,18,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Ertapenem",30,0,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Imipenem",48,1,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Levofloxacin",13,10,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Meropenem",49,1,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Trimethoprim/sulfamethoxazole",15,7,"GLASS","European Region"
"North Macedonia",2020,"Escherichia coli","Tinidazole",21,18,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Ceftazidime",118,117,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Ciprofloxacin",118,88,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Colistin",17,1,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Ceftriaxone",30,29,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Cefotaxime",99,99,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Imipenem",118,2,"GLASS","European Region"
"North Macedonia",2020,"Klebsiella pneumoniae","Meropenem",117,6,"GLASS","European Region"
"North Macedonia",2020,"Staphylococcus aureus","Oxacillin",10,10,"GLASS","European Region"
"Norway",2017,"Escherichia coli","Ceftazidime",1510,38,"GLASS","European Region"
"Norway",2017,"Escherichia coli","Ciprofloxacin",1510,154,"GLASS","European Region"
"Norway",2017,"Escherichia coli","Cefotaxime",1510,50,"GLASS","European Region"
"Norway",2017,"Escherichia coli","Meropenem",1510,0,"GLASS","European Region"
"Norway",2017,"Escherichia coli","Trimethoprim/sulfamethoxazole",1510,0,"GLASS","European Region"
"Norway",2017,"Escherichia coli","Tinidazole",3734,219,"GLASS","European Region"
"Norway",2017,"Klebsiella pneumoniae","Ceftazidime",740,33,"GLASS","European Region"
"Norway",2017,"Klebsiella pneumoniae","Ciprofloxacin",740,67,"GLASS","European Region"
"Norway",2017,"Klebsiella pneumoniae","Cefotaxime",740,34,"GLASS","European Region"
"Norway",2017,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",740,0,"GLASS","European Region"
"Norway",2017,"Neisseria gonorrhoeae","Azithromycin",374,27,"GLASS","European Region"
"Norway",2017,"Neisseria gonorrhoeae","Cefixime",374,2,"GLASS","European Region"
"Norway",2017,"Neisseria gonorrhoeae","Ciprofloxacin",374,166,"GLASS","European Region"
"Norway",2017,"Neisseria gonorrhoeae","Ceftriaxone",374,0,"GLASS","European Region"
"Norway",2017,"Staphylococcus aureus","Oxacillin",1462,15,"GLASS","European Region"
"Norway",2018,"Escherichia coli","Ceftazidime",1423,39,"GLASS","European Region"
"Norway",2018,"Escherichia coli","Ciprofloxacin",1423,141,"GLASS","European Region"
"Norway",2018,"Escherichia coli","Cefotaxime",1423,49,"GLASS","European Region"
"Norway",2018,"Escherichia coli","Meropenem",1423,0,"GLASS","European Region"
"Norway",2018,"Escherichia coli","Trimethoprim/sulfamethoxazole",1423,278,"GLASS","European Region"
"Norway",2018,"Escherichia coli","Tinidazole",3879,262,"GLASS","European Region"
"Norway",2018,"Klebsiella pneumoniae","Ceftazidime",694,39,"GLASS","European Region"
"Norway",2018,"Klebsiella pneumoniae","Ciprofloxacin",694,70,"GLASS","European Region"
"Norway",2018,"Klebsiella pneumoniae","Cefotaxime",694,37,"GLASS","European Region"
"Norway",2018,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",694,0,"GLASS","European Region"
"Norway",2018,"Neisseria gonorrhoeae","Azithromycin",226,30,"GLASS","European Region"
"Norway",2018,"Neisseria gonorrhoeae","Cefixime",226,0,"GLASS","European Region"
"Norway",2018,"Neisseria gonorrhoeae","Ciprofloxacin",226,141,"GLASS","European Region"
"Norway",2018,"Neisseria gonorrhoeae","Ceftriaxone",226,0,"GLASS","European Region"
"Norway",2018,"Staphylococcus aureus","Oxacillin",1547,14,"GLASS","European Region"
"Norway",2019,"Acinetobacter baumannii","Gentamicin",21,1,"GLASS","European Region"
"Norway",2019,"Acinetobacter baumannii","Meropenem",22,0,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Ampicillin",4072,1668,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Ceftazidime",5166,210,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Ciprofloxacin",5569,597,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Ceftriaxone",281,8,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Cefotaxime",5176,249,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Ertapenem",531,1,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Cefepime",620,12,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Imipenem",899,0,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Meropenem",5434,2,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Trimethoprim/sulfamethoxazole",1501,307,"GLASS","European Region"
"Norway",2019,"Escherichia coli","Tinidazole",3675,203,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Ceftazidime",1435,81,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Ciprofloxacin",1518,143,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Ceftriaxone",48,1,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Cefotaxime",1437,83,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Ertapenem",96,3,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Cefepime",137,7,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Imipenem",174,0,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Meropenem",1493,2,"GLASS","European Region"
"Norway",2019,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",686,0,"GLASS","European Region"
"Norway",2019,"Neisseria gonorrhoeae","Azithromycin",325,72,"GLASS","European Region"
"Norway",2019,"Neisseria gonorrhoeae","Cefixime",325,4,"GLASS","European Region"
"Norway",2019,"Neisseria gonorrhoeae","Ciprofloxacin",325,178,"GLASS","European Region"
"Norway",2019,"Neisseria gonorrhoeae","Ceftriaxone",325,0,"GLASS","European Region"
"Norway",2019,"Shigella sonnei","Ceftazidime",108,2,"GLASS","European Region"
"Norway",2019,"Shigella sonnei","Ciprofloxacin",108,21,"GLASS","European Region"
"Norway",2019,"Shigella sonnei","Cefotaxime",108,13,"GLASS","European Region"
"Norway",2019,"Staphylococcus aureus","Oxacillin",8040,93,"GLASS","European Region"
"Norway",2019,"Streptococcus pneumoniae","Ceftriaxone",19,1,"GLASS","European Region"
"Norway",2019,"Streptococcus pneumoniae","Cefotaxime",413,2,"GLASS","European Region"
"Norway",2019,"Streptococcus pneumoniae","Oxacillin",224,13,"GLASS","European Region"
"Norway",2019,"Streptococcus pneumoniae","Benzylpenicillin",504,8,"GLASS","European Region"
"Norway",2020,"Escherichia coli","Ceftazidime",2520,65,"GLASS","European Region"
"Norway",2020,"Escherichia coli","Ciprofloxacin",2520,203,"GLASS","European Region"
"Norway",2020,"Escherichia coli","Cefotaxime",2520,88,"GLASS","European Region"
"Norway",2020,"Escherichia coli","Meropenem",2520,0,"GLASS","European Region"
"Norway",2020,"Escherichia coli","Trimethoprim/sulfamethoxazole",2520,536,"GLASS","European Region"
"Norway",2020,"Escherichia coli","Tinidazole",3377,180,"GLASS","European Region"
"Norway",2020,"Klebsiella pneumoniae","Ceftazidime",699,40,"GLASS","European Region"
"Norway",2020,"Klebsiella pneumoniae","Ciprofloxacin",699,54,"GLASS","European Region"
"Norway",2020,"Klebsiella pneumoniae","Cefotaxime",699,41,"GLASS","European Region"
"Norway",2020,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",699,98,"GLASS","European Region"
"Norway",2020,"Neisseria gonorrhoeae","Azithromycin",475,42,"GLASS","European Region"
"Norway",2020,"Neisseria gonorrhoeae","Cefixime",475,10,"GLASS","European Region"
"Norway",2020,"Neisseria gonorrhoeae","Ciprofloxacin",475,244,"GLASS","European Region"
"Norway",2020,"Neisseria gonorrhoeae","Ceftriaxone",475,0,"GLASS","European Region"
"Norway",2020,"Staphylococcus aureus","Oxacillin",995,20,"GLASS","European Region"
"Oman",2017,"Acinetobacter baumannii","Amikacin",106,51,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Acinetobacter baumannii","Colistin",67,0,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Acinetobacter baumannii","Gentamicin",112,56,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Acinetobacter baumannii","Imipenem",85,41,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Acinetobacter baumannii","Meropenem",98,54,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Ampicillin",3873,2779,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Ceftazidime",2966,1014,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Ciprofloxacin",3497,1116,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Colistin",227,3,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Ceftriaxone",2697,989,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Cefotaxime",1245,444,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Ertapenem",541,9,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Cefepime",1655,752,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Imipenem",1930,30,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Meropenem",2104,27,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Trimethoprim/sulfamethoxazole",3350,1336,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Escherichia coli","Tinidazole",67,36,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Ceftazidime",1024,502,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Ciprofloxacin",1009,328,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Colistin",220,17,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Ceftriaxone",967,463,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Cefotaxime",459,209,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Ertapenem",279,71,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Cefepime",723,392,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Imipenem",768,110,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",1011,413,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Neisseria gonorrhoeae","Ciprofloxacin",24,17,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Neisseria gonorrhoeae","Ceftriaxone",24,0,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Shigella sonnei","Ciprofloxacin",25,5,"GLASS","Eastern Mediterranean Region"
"Oman",2017,"Shigella sonnei","Ceftriaxone",23,5,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Acinetobacter baumannii","Amikacin",55,32,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Acinetobacter baumannii","Colistin",33,0,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Acinetobacter baumannii","Gentamicin",57,37,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Acinetobacter baumannii","Imipenem",38,21,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Acinetobacter baumannii","Meropenem",57,36,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Ampicillin",3194,2307,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Ceftazidime",1973,957,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Ciprofloxacin",3103,942,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Colistin",105,2,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Ceftriaxone",1745,867,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Cefotaxime",937,400,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Ertapenem",365,6,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Cefepime",911,466,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Imipenem",1139,18,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Meropenem",1479,15,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Trimethoprim/sulfamethoxazole",3070,1170,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Escherichia coli","Tinidazole",178,96,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Ceftazidime",642,375,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Ciprofloxacin",748,297,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Colistin",114,10,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Ceftriaxone",592,331,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Cefotaxime",336,164,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Ertapenem",184,51,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Cefepime",336,178,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Imipenem",465,87,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",740,347,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Neisseria gonorrhoeae","Ciprofloxacin",11,6,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Neisseria gonorrhoeae","Ceftriaxone",11,0,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Shigella sonnei","Ciprofloxacin",42,7,"GLASS","Eastern Mediterranean Region"
"Oman",2018,"Shigella sonnei","Ceftriaxone",41,17,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Acinetobacter baumannii","Amikacin",135,68,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Acinetobacter baumannii","Colistin",60,1,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Acinetobacter baumannii","Gentamicin",133,77,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Acinetobacter baumannii","Imipenem",93,54,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Acinetobacter baumannii","Meropenem",135,78,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Acinetobacter baumannii","Tigecycline",46,3,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Ampicillin",7460,5476,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Ceftazidime",5517,2428,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Ciprofloxacin",7615,2272,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Colistin",277,3,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Ceftriaxone",4299,2159,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Cefotaxime",1679,825,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Ertapenem",1788,33,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Cefepime",2326,1232,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Imipenem",3008,38,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Levofloxacin",13,5,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Meropenem",3759,39,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Trimethoprim/sulfamethoxazole",7463,2827,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Escherichia coli","Tinidazole",203,111,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Ceftazidime",1894,994,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Ciprofloxacin",2172,747,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Colistin",244,12,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Ceftriaxone",1770,915,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Cefotaxime",731,406,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Ertapenem",840,196,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Cefepime",1059,555,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Imipenem",1292,230,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Meropenem",1551,298,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",2100,849,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Neisseria gonorrhoeae","Ciprofloxacin",46,36,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Neisseria gonorrhoeae","Ceftriaxone",48,0,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Shigella sonnei","Ceftazidime",19,4,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Shigella sonnei","Ciprofloxacin",119,32,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Shigella sonnei","Ceftriaxone",108,73,"GLASS","Eastern Mediterranean Region"
"Oman",2019,"Shigella sonnei","Cefotaxime",19,8,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Acinetobacter baumannii","Amikacin",68,47,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Acinetobacter baumannii","Colistin",21,7,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Acinetobacter baumannii","Gentamicin",75,48,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Acinetobacter baumannii","Imipenem",31,30,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Acinetobacter baumannii","Meropenem",67,55,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Ampicillin",2469,1752,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Ceftazidime",1377,942,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Ciprofloxacin",2554,886,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Colistin",192,63,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Ceftriaxone",1295,887,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Cefotaxime",499,392,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Ertapenem",98,34,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Cefepime",568,529,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Imipenem",185,15,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Meropenem",815,9,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Trimethoprim/sulfamethoxazole",2492,925,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Escherichia coli","Tinidazole",128,101,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Ceftazidime",699,530,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Ciprofloxacin",904,447,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Colistin",115,22,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Ceftriaxone",641,482,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Cefotaxime",274,230,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Ertapenem",117,87,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Cefepime",317,297,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Imipenem",184,113,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",860,406,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Neisseria gonorrhoeae","Ciprofloxacin",18,14,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Neisseria gonorrhoeae","Ceftriaxone",20,0,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Shigella sonnei","Ciprofloxacin",12,4,"GLASS","Eastern Mediterranean Region"
"Oman",2020,"Shigella sonnei","Ceftriaxone",11,7,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Acinetobacter baumannii","Amikacin",49,33,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Acinetobacter baumannii","Gentamicin",46,32,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Acinetobacter baumannii","Imipenem",95,60,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Acinetobacter baumannii","Meropenem",52,37,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Acinetobacter baumannii","Tigecycline",90,27,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Ampicillin",4625,4217,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Ceftazidime",349,305,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Ciprofloxacin",7035,4846,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Ceftriaxone",6238,4485,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Cefotaxime",27,18,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Cefepime",1394,867,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Imipenem",7014,405,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Levofloxacin",2757,1866,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Meropenem",2348,222,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Trimethoprim/sulfamethoxazole",3970,2800,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Escherichia coli","Tinidazole",15,15,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Klebsiella pneumoniae","Ciprofloxacin",1118,459,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Klebsiella pneumoniae","Ceftriaxone",1345,823,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Klebsiella pneumoniae","Cefepime",264,175,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Klebsiella pneumoniae","Imipenem",1129,237,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Klebsiella pneumoniae","Levofloxacin",161,86,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",848,453,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Shigella sonnei","Ciprofloxacin",40,11,"GLASS","Eastern Mediterranean Region"
"Pakistan",2017,"Staphylococcus aureus","Oxacillin",193,121,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Acinetobacter baumannii","Amikacin",199,57,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Acinetobacter baumannii","Gentamicin",151,27,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Acinetobacter baumannii","Imipenem",176,59,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Acinetobacter baumannii","Meropenem",47,33,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Acinetobacter baumannii","Tigecycline",16,5,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Ampicillin",10477,9349,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Ceftazidime",953,511,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Ciprofloxacin",11583,10485,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Ceftriaxone",2210,1648,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Cefotaxime",1424,917,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Cefepime",1447,832,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Imipenem",4414,277,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Levofloxacin",976,289,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Meropenem",3802,453,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Trimethoprim/sulfamethoxazole",2024,1183,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Escherichia coli","Tinidazole",156,133,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Klebsiella pneumoniae","Ciprofloxacin",567,327,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Klebsiella pneumoniae","Ceftriaxone",428,324,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Klebsiella pneumoniae","Cefepime",280,153,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Klebsiella pneumoniae","Imipenem",709,280,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Klebsiella pneumoniae","Levofloxacin",48,20,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Klebsiella pneumoniae","Trimethoprim/sulfamethoxazole",363,255,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Shigella sonnei","Ciprofloxacin",68,20,"GLASS","Eastern Mediterranean Region"
"Pakistan",2018,"Staphylococcus aureus","Oxacillin",14,4,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Amikacin",331,216,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Colistin",186,27,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Gentamicin",315,210,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Imipenem",350,234,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Meropenem",227,170,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Minocycline",56,10,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Acinetobacter baumannii","Tigecycline",38,12,"GLASS","Eastern Mediterranean Region"
"Pakistan",2019,"Escherichia coli","Ampicillin",11715,10570,"GLASS","Eastern Mediterranean Region"
